Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
persona,0.27750250697135925,573,236,639,452,1743563673.2033591
persona,0.4215027689933777,573,235,639,480,1743563673.5758843
persona,0.28491345047950745,0,243,251,479,1743563673.5762758
persona,0.26706042885780334,89,242,623,479,1743563673.5766747
persona,0.29789745807647705,90,242,640,479,1743563673.9492645
persona,0.28431031107902527,93,244,640,480,1743563674.3148115
persona,0.263816237449646,570,236,639,477,1743563674.3151145
persona,0.32694536447525024,94,249,624,479,1743563674.6829762
silla,0.28786566853523254,38,323,131,433,1743563674.6834376
persona,0.39251258969306946,94,249,624,479,1743563675.0459187
persona,0.2824311852455139,569,235,639,479,1743563675.046428
persona,0.3679967522621155,571,228,639,479,1743563675.413295
persona,0.49409306049346924,80,203,625,479,1743563675.7779887
persona,0.39245325326919556,282,0,485,43,1743563675.7783394
persona,0.2690020203590393,566,201,639,480,1743563675.7786615
persona,0.6309945583343506,48,0,634,479,1743563676.14416
persona,0.4245104193687439,55,188,623,479,1743563676.1445935
persona,0.3173171281814575,592,185,639,479,1743563676.1450396
persona,0.29554909467697144,555,189,639,478,1743563676.1454318
persona,0.8802683353424072,92,0,639,478,1743563676.5066292
silla,0.3613283038139343,0,322,136,479,1743563676.507074
persona,0.8332442045211792,94,0,637,479,1743563676.8743267
silla,0.38971737027168274,0,322,134,478,1743563676.874632
silla,0.35101118683815,0,410,116,479,1743563676.874896
silla,0.3348230719566345,38,323,127,413,1743563676.8751464
persona,0.5031938552856445,82,0,635,479,1743563677.2458632
remote,0.46657413244247437,320,346,631,479,1743563677.246276
persona,0.4031563401222229,86,0,384,478,1743563677.246597
silla,0.37669819593429565,0,322,131,479,1743563677.2468886
silla,0.3382393717765808,0,413,115,480,1743563677.247165
silla,0.28794652223587036,38,322,128,415,1743563677.2474048
silla,0.37407419085502625,40,322,127,412,1743563677.6097107
silla,0.3502809405326843,0,412,113,479,1743563677.6100764
persona,0.3319430649280548,96,280,300,480,1743563677.6104221
apple,0.33121198415756226,263,0,446,72,1743563677.610837
persona,0.2797858715057373,555,229,639,479,1743563677.6111374
silla,0.25945350527763367,0,323,130,479,1743563677.611537
persona,0.5179941654205322,554,229,639,477,1743563677.986472
silla,0.29594090580940247,39,323,127,414,1743563677.9867654
persona,0.2879607379436493,85,28,632,479,1743563677.9869986
persona,0.6033204793930054,556,227,639,477,1743563678.3567317
silla,0.40581685304641724,39,323,128,414,1743563678.3570428
silla,0.25517693161964417,0,411,114,479,1743563678.357281
persona,0.5372838973999023,556,226,639,476,1743563678.717909
silla,0.40413159132003784,38,323,128,414,1743563678.71835
silla,0.30849796533584595,0,323,131,479,1743563678.7187395
silla,0.2758578062057495,0,411,114,479,1743563678.7191484
persona,0.38422346115112305,556,225,639,478,1743563679.0880742
silla,0.3341474235057831,38,322,126,429,1743563679.0885108
silla,0.28263214230537415,0,323,131,479,1743563679.0888634
silla,0.2674946188926697,0,410,113,479,1743563679.0892184
persona,0.4901997447013855,556,224,639,478,1743563679.4548995
silla,0.27584344148635864,39,323,126,415,1743563679.4552941
silla,0.2731162905693054,0,323,131,479,1743563679.4556665
persona,0.34665125608444214,563,212,639,480,1743563679.82224
silla,0.30487576127052307,0,323,133,478,1743563679.8226604
persona,0.6817165613174438,94,234,631,479,1743563680.1944935
persona,0.25344136357307434,100,4,639,478,1743563680.1949615
persona,0.7305513620376587,100,0,638,478,1743563680.5638766
persona,0.3902554214000702,66,146,638,479,1743563680.5642893
persona,0.7856423258781433,108,0,637,479,1743563680.9529264
persona,0.7911826372146606,84,4,633,480,1743563681.3198047
silla,0.3818681240081787,39,322,132,413,1743563681.3203187
persona,0.2943950295448303,80,172,636,478,1743563681.320736
persona,0.8556100726127625,102,4,638,478,1743563681.6861303
silla,0.3163863718509674,39,322,132,414,1743563681.6865897
persona,0.8604037761688232,87,3,628,480,1743563682.060944
silla,0.2822542190551758,38,322,134,415,1743563682.0612485
persona,0.6356073021888733,107,182,638,479,1743563682.4334078
persona,0.36099785566329956,570,63,639,383,1743563682.4337578
persona,0.2734074592590332,1,177,258,479,1743563682.4340425
persona,0.6795432567596436,111,250,615,479,1743563682.8135073
persona,0.5151716470718384,0,339,229,479,1743563683.1821258
